Subject,Start Date,All Day Event
メンタルヘルスに関するアンケート（全学年）,2024/11/25,TRUE
教員会議,2024/11/27,TRUE
仮：アントレナーシップセミナー（本科２年生）,2024/11/27,TRUE
日本語能力試験（第２回）（日セン）,2024/12/01,TRUE
金曜日の授業,2024/12/02,TRUE
予備日（本科1～5年）,2024/12/03,TRUE
仮：研修旅行（本科3年、4年）,2024/12/03,TRUE
専攻科は授業日,2024/12/03,TRUE
仮：キャリア教育週間（業界研究会）,2024/12/03,TRUE
予備日（本科1～5年）,2024/12/04,TRUE
専攻科は授業日,2024/12/04,TRUE
予備日（本科1～5年）,2024/12/05,TRUE
専攻科は授業日,2024/12/05,TRUE
予備日（本科1～5年）,2024/12/06,TRUE
専攻科は月曜日の授業,2024/12/06,TRUE
運営会議,2024/12/11,TRUE
仮：（施設係）自衛消防訓練,2024/12/11,TRUE
仮：キャリア教育週間（業界研究会）,2024/12/11,TRUE
教員会議,2024/12/18,TRUE
【寮】居室点検・清掃,2024/12/18,TRUE
【寮】閉寮前大清掃,2024/12/20,TRUE
【寮】帰省期間（12/21迄）,2024/12/20,TRUE
【寮】15時完全閉寮,2024/12/21,TRUE
冬季休講（1/5まで）,2024/12/23,TRUE
冬季一斉休業,2024/12/27,TRUE
元日,2025/01/01,TRUE
【寮】開寮・帰寮期間（～1/5）,2025/01/04,TRUE
仕事始め,2025/01/06,TRUE
校長年頭挨拶,2025/01/06,TRUE
授業開始,2025/01/06,TRUE
専攻科のみ金曜日の授業,2025/01/10,TRUE
仮：CBT実施日,2025/01/10,TRUE
（該当学年はCBT,その他の学年は予備日）,2025/01/10,TRUE
新年餅つき大会（日セン）,2025/01/10,TRUE
仮：本科推薦選抜,2025/01/11,TRUE
成人の日,2025/01/13,TRUE
仮：沖縄高専CareerLog（沖縄高専版「キャリア・パスポート」）実施（本科生）,2025/01/14,TRUE
運営会議,2025/01/15,TRUE
仮：入学者選抜判定会議（本科推薦）,2025/01/15,TRUE
仮：業界研究会（県内版）,2025/01/15,TRUE
教員会議,2025/01/22,TRUE
仮：キャリアセミナー（本科3年生）,2025/01/22,TRUE
仮：お花見（日セン）,2025/01/25,TRUE
仮：全国高等専門学校英語プレコン（1/25～1/26）,2025/01/25,TRUE
仮：全国高等専門学校英語プレコン（1/25～1/26）,2025/01/26,TRUE
学期末試験（専攻科）,2025/01/28,TRUE
学期末試験（専攻科）,2025/01/29,TRUE
学期末試験（専攻科）,2025/01/30,TRUE
学期末試験（専攻科）,2025/01/31,TRUE
学期末試験（専攻科）,2025/02/03,TRUE
仮：沖縄高専CareerLog（沖縄高専版「キャリア・パスポート」）実施（本科生）,2025/02/03,TRUE
試験返却日（専攻科）,2025/02/04,TRUE
学期末試験（本科）,2025/02/04,TRUE
学期末試験（本科）,2025/02/05,TRUE
学期末試験（本科１～４年）,2025/02/06,TRUE
試験返却日（本科５年）,2025/02/06,TRUE
学期末試験（本科１～４年）,2025/02/07,TRUE
仮：本科学力選抜,2025/02/09,TRUE
体験的学習活動等休業日,2025/02/10,TRUE
【寮】居室点検・清掃,2025/02/10,TRUE
建国記念日,2025/02/11,TRUE
仮：専攻科修了認定会議,2025/02/12,TRUE
試験返却日（本科１～４年）,2025/02/12,TRUE
仮：キャリアセミナー（本科5年生・専攻科2年生）,2025/02/12,TRUE
試験返却日（本科１～４年）,2025/02/13,TRUE
仮：入学者選抜判定会議（本科学力）,2025/02/13,TRUE
終業式,2025/02/14,TRUE
【寮】閉寮前大清掃・閉寮式,2025/02/14,TRUE
【寮】帰省、退寮期間,2025/02/14,TRUE
留学生卒業遠足（全留学生参加）（日セン）,2025/02/15,TRUE
【寮】15時完全閉寮,2025/02/15,TRUE
【寮】学生寮点検・整備期間,2025/02/17,TRUE
運営会議,2025/02/19,TRUE
天皇誕生日,2025/02/23,TRUE
仮：本科学力選抜（追試）,2025/02/23,TRUE
振替休日（天皇誕生日）,2025/02/24,TRUE
仮：卒業認定会議,2025/02/25,TRUE
教員会議,2025/02/26,TRUE
仮：入学者選抜判定会議（本科学力追試）,2025/02/26,TRUE
【寮】学生寮点検・整備期間,2025/03/01,TRUE
仮：入学説明会,2025/03/06,TRUE
仮：進級認定会議,2025/03/07,TRUE
卒業式・専攻科修了式,2025/03/18,TRUE
運営会議,2025/03/19,TRUE
春分の日,2025/03/20,TRUE
【寮】次年度入寮生荷物搬入期間,2025/03/24,TRUE
教員会議,2025/03/26,TRUE
